id,name,nameEn,origin,originEn,genre,profile,profileEn,image,websiteUrl,snsTwitter,snsInstagram,snsYoutube,isFeatured
,石の上にも藤の花（ふじわらの。）,fujiwarano,,,music,団体ではありません,,,,,https://www.instagram.com/fujiwarano_?utm_source=qr,,
,Renato Leao,Renato Leao,,,dance,"Fato Cia Danca
98年ブラジルで立ち上げる。
2005年来日後、日本での活動開始。",,,https://fatoindance.jimdofree.com/,,,,
,Concordia Dance Works,Concordia Dance Works,,,dance,"**Concordia Dance Works（コンコルディア ダンス ワークス）**は、大阪・心斎橋を拠点とするアメリカンスタイルペアダンススタジオです。30種類以上の多彩なペアダンスを学べる、国内でも数少ないスタジオとして活動しています。
私たちが大切にしているのは、言葉を使わずに相手と意思を交わす、ペアダンス特有のコミュニケーション「リード＆フォロー」です。
趣味や健康のためにダンスを楽しむ方、人との交流を求める方、ショーやコンペティションへの挑戦を目指す方まで、年齢や経験、目的の異なる人々が共に踊り、つながることのできるコミュニティづくりに取り組んでいます。
私たちはペアダンスを、単に観せるためのパフォーマンスではなく、人と人を結び、世代や言葉、異なる文化を自然につなぐ「コミュニケーション文化」だと考えています。
大阪から世界へ、自由で多彩なペアダンス文化を発信し、誰もが笑顔で参加できるダンスコミュニティを広げることを目指しています。",,,https://concordiadanceworks.com,,https://www.instagram.com/concordia_dance_works/,,
,CHOP POP,CHOP POP,,,exhibition,"アーティスト名は好きな英語のフレーズ「Chop Chop」（急げ！急げ！）に由来。2008年から制作活動を開始。ストップアニメーションの背景を Paper cutting with collage（オリジナルスタイル）で制作し、現在に至る。UK/US Indie Rock、特にグラスゴーのミュージックシーンから影響を受けており、英国スコットランドのインディバンド CAMERA OBSCURAのミュージックビデオ, Let's Get Out Of This Country を Paper Cover Version として2015年から2年の歳月を経て原画196枚を制作、2017年にグラスゴーにて展示会を開催。2022年には同バンドのB面レア集アルバム “Making Money”のレコードジャケットに起用される。
2024年は4月二ューヨーク、5月大阪大丸心斎橋店、7月グラスゴーにて展示。",,,http://choppop.web.fc2.com/,,https://www.instagram.com/chop_pop_paper/,https://youtu.be/535mHDsScp8,
,Naomi Harica,Naomi Harica,,,dance,"Naomi Harica（ナオミ・ハリカ）
2023年『妖精ダンサー®』の商標権を取得。
ベリーダンスをベースに、ボリウッドダンス、チャイニーズフュージョン、ベトナムフュージョン、女神ダンス等、華やかでカラフルなステージや、幻想的で神秘的なパフォーマンスを幅広く披露。
活動は海外にも広がっており
2016年 ニューヨークで生演奏ショー
2018年 ベトナムのフェスティバルに出演
2019年より毎年、インドデリーでの『Namaste Japan Fest』に出演
2025年 ドバイでの『World Art Dubai』に出演
2025年は大阪・関西万博にて、アリーナmatsuri、ポップアップステージ、インドパビリオンでも複数回パフィーマンス披露。",,,https://harica.jp/,,https://www.instagram.com/harica_naomi,https://www.youtube.com/@NaomiHarica/featured,
,タンゴ・グレリオ,TANGO GRELIO,,,music,星野俊路（バンドネオン）と米阪隆広（ギター）が２０１０年に結成したアコースティック・デュオ。下町情緒あふれるノスタルジックなサウンドに定評があり、アルゼンチンタンゴの魅力を関西から全国へ発信している。「奈良タンゴ祭」などワールドミュージック系のイベントにも多数出演。アリエル・ピロッティ(Pf)、ミルタ・アルバレス(Gt)などアルゼンチン出身のタンゴの名手との共演も果たしている。CD収録曲のいくつかがテレビ東京『開運！なんでも鑑定団』のBGMに使用されたほか、CD「シルバンド」は『レコード芸術』誌の準特選盤に選定された。,,,https://tangogrelio.com/,,,,
,朗読ユニットステラリーディング,RoudokuUnitStellaReading,,,theater,"朗読ユニット『ステラリーディング』は、星や天体、そして日々の暮らしの中に光る「きらめき」をテーマに、声と音で物語を紡ぐ表現ユニットです。
夜空を見上げるように、耳をすませば広がる、どこか懐かしくて愛おしい世界。時にロマンチックに、時に心温まる日常を、確かな表現力でお届けします。
「朗読」というシンプルな表現だからこそ、皆様お一人おひとりの想像の中で、自由な景色を描いていただければ幸いです。
あなたの心にそっと寄り添い、明日が少しだけ愛おしくなるような、特別な「言葉の世界」へご案内いたします。",,,https://sites.google.com/view/star-note/home,,,,
,mico,mico,,,music,"シンガーソングライターとして、兵庫県を中心に活動している、micoと申します。
ギター弾き語りで、オリジナル曲、カバー曲を演奏しています。",,,,,https://www.instagram.com/mico.esperanza/,https://www.youtube.com/watch?v=KSK_pdC-b_k,
,今木宏充,IMAKI HIROMITSU,,,music,同上,,,,,,https://youtu.be/97bcxIGHdBU,
,阿波おどり南大阪連,awaodori minamioosakaren,,,dance,「関西阿波おどり協会、南大阪連」は本拠地、大阪市住之江区です。徳島出身者が中心となり平成３年に発足しました。今年で35周年を迎えました。年間を通し練習をし、徳島市おどりには毎年連続踊込みをしています。又、地元の堺まつりや、天神天満阿波踊り等、地域の各種イベントにも積極的に参加しています。2025年には台湾花蓮県阿波踊り公演、2018年は、日台交流サミット、2017年に、台湾公演「台中国際ダンスパレード＆フェスティバル」にも出演等、5回の台湾公演が実現しました。尚、新規メンバーも募集中です。正調阿波踊り南大阪連、どうぞ宜しくお願いします。,,,https://www.hiwasa.co.jp/awaodori/,,,,
